,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.0,1.0264998255670452,0.07727394748535987,-0.885530724030721,0.7480058766475505,-0.25260583343358134,1.030620894353292,-0.7885965494380569,0.7551570417174532,-1.3971197589189428,-1.0514996550686537,0.9773444665892064,-0.6402980595180573,-0.9808068197581018,1.0163354514063294,-0.5927690697348722,-0.9383160616257776,1.2392475487576768,1.186892819895442,0.7605557047879016,-0.5742723936771686,-0.717795231794211,0.8021889858277527,-1.180162275092095,0.966600566110887,-0.7346727422258369,0.9626389061194394,1.19709822056745,-0.1894178105972245,-1.3436118341284073,1.0967480675129617,0.3264572142673082,0.8643402654842706,0.674037859390417,0.18076778147179573,0.27449908568941084,-1.4410799227341298,0.596194113660261,1.276069909951992,-1.400454180179815,-0.9816465818072693,1.3438899581351071,1.4862785956633944,0.04103926964319937,-1.4440326576341302,0.5072741361193316,-1.436707508619695,1.3396662538852682,0.5944624617270381,-0.6666762596289039,1.2919125805572083,-0.5373952535175733,-0.7969629835828327,1.311871011126783,0.09735661128848261,1.4190154157930084,-0.7239695215814645,-0.7925018185494437,-0.10601873833147046,-0.6364218747055904,0.08897634256496256,0.6561758276887241,1.2178768322331712,0.07485915607682048,-0.25863750625061677,1.1035143918259187,-1.3561294264158108,-0.5807774307506729,1.0819351926242569,0.8615705150911239,-1.1922868845831123,0.5633353257640209,0.6447575526022302,1.4197954923520308,-0.9690255656853549,0.780603740313407,0.9249985557131789,-0.9180948265261465,-0.17790451965067944,0.9370224651605046,-0.9236709738348814,-1.215837896723739,0.7423901796837213,0.41800214281877834,-0.9578049962146371,0.012442604014731073,0.155237714294455,0.3361417623934654,0.36830699131561984,0.3678919987077187,0.18394822866912708,0.06853281470466766,0.38820446226805494,1.047468870295896,0.16225959673111623,-0.58811988763631,0.8217387442247962,1.1519604941172858,-0.5833774484168721,-1.297052746085016,-0.8347134234708655
0.001,1.0254014729587941,0.07647475388074972,-0.8844961108715734,0.7475879174857771,-0.251417212162339,1.0299079983818007,-0.7869045528477036,0.7556830635019571,-1.3963578761881381,-1.0516074394582318,0.9769937909631253,-0.6404131230748965,-0.9803143743013668,1.0159378487619644,-0.5929298541870002,-0.9379516894378399,1.2369403873902134,1.1868628116837203,0.7590673786260944,-0.5742335583719077,-0.7173946931566259,0.8022916586015266,-1.1780501174246514,0.9666936639328065,-0.7327953045316633,0.9609701182606849,1.1958894273730043,-0.1908496283186057,-1.34235449044273,1.0952875067964027,0.327324532053442,0.8637606509188966,0.6735920116996154,0.18081358093045796,0.2740522477873009,-1.4393814428391873,0.593902114998698,1.27414721500877,-1.4002817879859182,-0.9822660166626516,1.3410511069087387,1.485078306050026,0.03875571183859392,-1.442475060212253,0.5089436693727658,-1.4344184307516537,1.3376480053251674,0.5932692889296246,-0.6652228206703021,1.2911185932891622,-0.537700818426629,-0.7967015615059083,1.3105386131003582,0.09932245416712555,1.4176129972201503,-0.7242826007446606,-0.7914306136365975,-0.10536665331211578,-0.6357035649455399,0.08856362131225412,0.6557335828088418,1.216802652784877,0.07449004223385594,-0.2582057946570326,1.1028634771320227,-1.355286266869671,-0.5814125070346426,1.0803751810028768,0.8595846237431902,-1.1906041716488618,0.5622067037695416,0.6450781499176301,1.4178161222953507,-0.9669425755473494,0.7791665166800446,0.9235340763952122,-0.9173138647507547,-0.17840114050343903,0.9363340009781689,-0.923769080143337,-1.2151210724685408,0.7411286401454931,0.41706468968264976,-0.9567734870952407,0.012421558439914205,0.15518786944333599,0.3359626715374196,0.3681571385352586,0.367679560740392,0.1838759965415717,0.06862884536456516,0.3879869111194428,1.046582016278287,0.16154170524177255,-0.5873161928055333,0.8203506216475056,1.1504781800735053,-0.5842802107623594,-1.2951019903723722,-0.8351838560515491
0.002,1.0243049505273234,0.07567834539414166,-0.8834630698390403,0.7471689879243272,-0.25023085689442537,1.0291943566348702,-0.785214386678257,0.7562053703274796,-1.3955974734120749,-1.0517138680991005,0.9766437199558631,-0.6405272739482468,-0.9798222942652652,1.015540529229615,-0.5930898238445574,-0.9375865204954527,1.234636001215348,1.1868289836257186,0.757580882759134,-0.5741932127149375,-0.7169946698759772,0.8023922693497457,-1.1759399243496564,0.9667827562574127,-0.7309214593295232,0.9593059514064278,1.1946804849349817,-0.19227657603456916,-1.3410995421371683,1.093827487348009,0.3281887546730345,0.8631820058083762,0.6731464885489858,0.1808589893741488,0.27360610260410845,-1.4376855457717757,0.5916172209676077,1.272229317662336,-1.4001080633508423,-0.982880920007142,1.3382152869589323,1.4838758537019945,0.036479061223616535,-1.4409197717626485,0.5106056676639781,-1.4321302777752098,1.3356349617277772,0.5920799953235653,-0.663772563858265,1.2903246568544897,-0.5380053484294502,-0.7964400875101936,1.3092059993196847,0.10128246643091272,1.4162102844328575,-0.7245930049056459,-0.7903609753467351,-0.10471641543765876,-0.6349858093000119,0.08815211321264486,0.6552911510972969,1.2157293034720718,0.0741222232134219,-0.25777491643355144,1.1022123985827714,-1.3544443343514918,-0.5820441078512011,1.0788173000367427,0.8576043657989594,-1.1889248761003774,0.5610795336220565,0.6453954881305729,1.4158398184037706,-0.9648651593883775,0.7777335779863823,0.9220726839626608,-0.9165336339859885,-0.178896109857076,0.9356466685459598,-0.9238655477225077,-1.2144039276096061,0.7398698518246126,0.41612993637210827,-0.9557429074801158,0.012400608973170753,0.15513806185023993,0.33578371849524097,0.36800730288277317,0.3674672926273666,0.18380387063042655,0.06872471864248834,0.38776961571312824,1.045695733344947,0.160825948866887,-0.5865140237040197,0.8189656246398319,1.148997272000162,-0.585177629050319,-1.2931521423983898,-0.8356504014247254
0.003,1.0232102558626517,0.07488471372828848,-0.8824315973057989,0.7467490939672419,-0.24904676625383537,1.0284799760791055,-0.7835260537322944,0.7567239721750696,-1.394838544853763,-1.0518189454739055,0.9762942513008587,-0.6406405143328481,-0.9793305785504746,1.0151434918998832,-0.5932489791473002,-0.9372205555460126,1.2323343920195522,1.1867913505075258,0.7560962193740522,-0.5741513608822593,-0.7165951591443118,0.8024908236913458,-1.173831699071097,0.9668678598752205,-0.7290512031579797,0.957646392745818,1.1934714028694757,-0.19369866481527534,-1.3398469787691574,1.0923680149011523,0.3290498888746372,0.8626043271296736,0.6727012897423736,0.18090400795628056,0.2731606497370287,-1.4359922248191566,0.5893394089904274,1.2703162056135642,-1.3999330062534592,-0.9834912989704191,1.335382506050921,1.48267126149937,0.034209306430885475,-1.4393667957442977,0.5122601512130033,-1.4298430638004456,1.3336271052541828,0.5908945658710425,-0.6623254807323226,1.2895307720979032,-0.5383088442751011,-0.7961785596229779,1.307873175545829,0.10323665666955088,1.4148072820988615,-0.7249007401103801,-0.7892929020146443,-0.10406801991693729,-0.6342686083206054,0.08774181604397097,0.6548485352084199,1.2146567845018024,0.07375569557812128,-0.2573448691908635,1.1015611584912193,-1.3536036229784898,-0.582672242902438,1.0772615502905794,0.8556297243904558,-1.1872489874681922,0.5599538181239249,0.6457095790147992,1.4138665787222233,-0.9627932978951965,0.7763049082944329,0.9206143703615576,-0.9157541322150874,-0.17938943143065633,0.9349604653272378,-0.9239603803248234,-1.2136864635568714,0.7386138079950939,0.41519787507541717,-0.9547132568954715,0.012379755721001215,0.15508829153336798,0.3356049031628059,0.3678574845133813,0.36725519425608044,0.18373185073722684,0.06882043479506732,0.3875525755224808,1.0448100220895087,0.16011232224471147,-0.5857133751354465,0.8175837456838594,1.1475177739016402,-0.5860697175875872,-1.2912032077231947,-0.836113069668061
0.004,1.0221173861704564,0.07409384934518477,-0.8814016890969816,0.746328242512189,-0.247864938632395,1.0277648647197022,-0.7818395572081732,0.7572388805352112,-1.3940810839104074,-1.0519226767304033,0.9759453823910899,-0.6407528467517329,-0.9788392258934805,1.014746735725573,-0.5934073206034532,-0.9368537954634828,1.2300355618340444,1.1867499293462878,0.7546133909644903,-0.5741080076854802,-0.7161961577323005,0.8025873280942727,-1.1717254452564827,0.9669489940955998,-0.7271845319832985,0.9559914275276251,1.1922621921789145,-0.19511590740897414,-1.3385967883487224,1.0909090960256245,0.3299079424311507,0.8620276114078724,0.6722564150536091,0.18094863800475153,0.27271588871743785,-1.4343014722724756,0.587068653133059,1.2684078647088721,-1.3997566166993323,-0.9840971618042441,1.3325527730683921,1.4814645556919777,0.031946434289161336,-1.4378161360250545,0.5139071433297855,-1.4275568049538658,1.331624415414417,0.5897129833227486,-0.6608815615695074,1.288736939991636,-0.5386113068272036,-0.7959169755811655,1.306540148404529,0.10518503481060153,1.4134039956147817,-0.7252058133281625,-0.7882263917113808,-0.10342146123663891,-0.633551962633691,0.0873327272429543,0.6544057381905491,1.213585096107892,0.07339045537424774,-0.2569156501817788,1.1009097595111519,-1.3527641259962428,-0.5832969233501994,1.0757079323695686,0.8536606801296581,-1.1855764937243787,0.5588295604555625,0.6460204361177009,1.4118964009585007,-0.9607269688986099,0.774880489318422,0.9191591263377206,-0.9149753571252122,-0.1798811095024807,0.9342753883982936,-0.9240535822700588,-1.2129686819400678,0.7373605009215537,0.41426849681218525,-0.9536845347919259,0.012358998803920667,0.15503855851362905,0.33542622542008727,0.3677076836056658,0.3670432654966271,0.18365993663351846,0.06891599411776031,0.38733578994164003,1.0439248831903039,0.15940081920931656,-0.5849142411379772,0.816204976130521,1.1460396903362688,-0.5869564928639961,-1.2892551927493232,-0.8365718723920785
0.005,1.021026339876436,0.07330574712612477,-0.8803733429560003,0.7459064372474767,-0.24668537308666497,1.0270490268416577,-0.7801548987513389,0.7577501016258616,-1.3933250870128993,-1.0520250646158793,0.9755971118222533,-0.640864272559514,-0.9783482356166933,1.0143502601392176,-0.5935648484942406,-0.9364862407628285,1.2277395116806902,1.186704729333824,0.7531323988066301,-0.5740631557409268,-0.7157976639019008,0.802681786056584,-1.1696211648273624,0.9670261693036432,-0.7253214434726861,0.9543410477613773,1.1910528586080402,-0.1965283107261665,-1.3373489644851861,1.0894507341826278,0.3307629195603183,0.861451856778487,0.6718118643592161,0.18099288023831775,0.2722718192765622,-1.432613284018269,0.5848049395335311,1.2665042873020473,-1.399578894785381,-0.9846985131091817,1.3297260926484085,1.4802557502037874,0.029690437416091987,-1.4362677943435822,0.5155466567215943,-1.4252715096011148,1.3296268812635166,0.5885352385349121,-0.6594408011585049,1.2879431610619998,-0.538912736557296,-0.7956553341844248,1.3052069214617283,0.1071276063454577,1.4120004279730138,-0.7255082283581454,-0.7871614433559195,-0.10277673642073658,-0.632835872551532,0.08692484540706624,0.6539627616705812,1.2125142384030094,0.07302650047285632,-0.2564872579299778,1.1002582030512431,-1.3519258398039828,-0.583918155211994,1.0741564464620195,0.8516972226192927,-1.1839073884367313,0.5577067621977156,0.6463280667477539,1.4099292837438135,-0.9586661605989052,0.7734603113531576,0.9177069469363609,-0.9141973074924832,-0.18037114637830462,0.9335914361657484,-0.9241451558957594,-1.212250583661989,0.7361099264409217,0.41334179676132804,-0.9526567408600746,0.012338338280748892,0.1549888628021858,0.3352476852016412,0.36755790025594187,0.36683150627771427,0.18358812819573736,0.06901139677053539,0.38711925864398833,1.0430403169989506,0.15869143644390546,-0.5841166185476482,0.8148293113169768,1.14456302361172,-0.5878379638609752,-1.2873081009480822,-0.8370268159063633
0.006,1.019937114046228,0.07252039720003012,-0.8793465545530548,0.7454836853040153,-0.2455080679065975,1.0263324707234105,-0.7784720816314636,0.7582576473680045,-1.3925705473133096,-1.05212611444913,0.9752494368933308,-0.6409747943676636,-0.9778576064127573,1.013954064053939,-0.5937215633504539,-0.9361178923746505,1.2254462436228475,1.186655768115279,0.7516532454458963,-0.5740168100476261,-0.7153996743081864,0.8027742042874098,-1.1675188615527705,0.967099405495796,-0.7234619333560043,0.952695238138623,1.1898434134526013,-0.1979358879995019,-1.3361034947948418,1.087992936134663,0.3316148283328073,0.8608770596454708,0.671367637423934,0.1810367360347291,0.2718284409195887,-1.430927652091906,0.5825482413839211,1.2646054587165743,-1.3993998405707564,-0.9852953615230262,1.3269024739106772,1.4790448721084275,0.027441302002006403,-1.4347217745111713,0.5171787156248064,-1.4229871942676018,1.32763448162514,0.5873613137203086,-0.6580031894406115,1.287149436317759,-0.5392131343637412,-0.7953936330986999,1.3038735015803082,0.1090643816413982,1.4105965848133337,-0.7258079924465375,-0.7860980549259027,-0.10213383975359085,-0.6321203387087918,0.08651816786821555,0.6535196087981661,1.2114442116218556,0.07266382677812022,-0.2560596895912006,1.099606491849125,-1.3510887574251205,-0.5845359500549956,1.0726070931166607,0.8497393317986057,-1.1822416591702307,0.5565854265701798,0.6466324849470991,1.4079652246270837,-0.9566108501082852,0.7720443555358061,0.9162578225867399,-0.9134199809331515,-0.18085954649136843,0.9329086055899657,-0.9242351056835081,-1.2115321704252935,0.7348620765410052,0.4124177656279276,-0.9516298745230658,0.012317774272879379,0.15493920442064424,0.335069282382664,0.36740813464929933,0.3666199164640034,0.18351642518690536,0.06910664305996778,0.3869029810016702,1.0421563242104066,0.15798416756281974,-0.58332050121464,0.8134567422800768,1.1430877783666886,-0.5887141477192218,-1.2853619389656457,-0.8374779122716021
0.007,1.0188497059117587,0.0717377902003625,-0.8783213197831647,0.7450599934511639,-0.24433302148709585,1.0256152042226896,-0.7767911089665926,0.7587615290620826,-1.3918174583193215,-1.0522258312804387,0.9749023550424986,-0.6410844146540446,-0.9773673370410322,1.013558146439607,-0.5938774656739031,-0.9357487511719563,1.223155759633298,1.1866030624209556,0.7501759333111555,-0.5739689753416454,-0.7150021857782871,0.802864589147076,-1.1654185390192804,0.96716872164153,-0.72160599761805,0.9510539841495238,1.1886338674658818,-0.1993386517702167,-1.334860367517366,1.0865357083126728,0.33246367639666274,0.8603032165964994,0.6709237340249847,0.18108020669997868,0.27138575318076774,-1.4292445689306996,0.5802985332343327,1.262711365037122,-1.3992194540910816,-0.9858877152044968,1.3240819255372516,1.4778319471313772,0.02519901501157558,-1.4331780802178837,0.5188033429938709,-1.4207038746971261,1.3256471963941407,0.5861911919761401,-0.6565687168698036,1.286355766715123,-0.5395125010972236,-0.7951318701061381,1.3025398952701508,0.11099537050008584,1.409192471466248,-0.7261051124562989,-0.7850362245123444,-0.10149276581546587,-0.6314053617129078,0.0861126921005581,0.6530762825639386,1.2103750159899327,0.07230243040511936,-0.2556329424670031,1.0989546285058873,-1.350252872234404,-0.5851503188491773,1.0710598728839615,0.8477869886305525,-1.1805792941204813,0.5554655566556942,0.6469337040318336,1.4060042213127777,-0.9545610156874921,0.7706326039440695,0.9148117442047776,-0.912643375181523,-0.18134631404618926,0.9322268937919848,-0.9243234358816138,-1.2108134438394607,0.7336169436217076,0.4114963945925124,-0.9506039352367134,0.012297306896779067,0.15488958338951875,0.3348910168449556,0.36725838696126367,0.36640849592741703,0.18344482738236662,0.06920173327665577,0.3866869564192434,1.041272905486819,0.15727900650848592,-0.5825258832957106,0.8120872605194303,1.1416139590330296,-0.5895850606745289,-1.2834167131007768,-0.8379251729148627
0.008,1.0177641127049533,0.07095791676058358,-0.8772976345413502,0.7446353684582813,-0.24316023222306335,1.0248972351972243,-0.775111983874771,0.7592617580085388,-1.3910658135386185,-1.0523242201600878,0.9745558637079331,-0.6411931358965203,-0.9768774262608775,1.013162506266092,-0.5940325559663987,-0.9353788180277534,1.2208680616848242,1.1865466289811568,0.7487004648312745,-0.5739196563590518,-0.7146051951393327,0.8029529469959085,-1.1633202008134658,0.9672341367103168,-0.7197536322436202,0.9494172712842412,1.187424231401166,-0.20073661457954717,-1.3336195708924348,1.0850790571476003,0.33330947139992956,0.8597303242192489,0.6704801539395904,0.18112329354005963,0.27094375559434963,-1.4275640269719632,0.5780557896348691,1.2608219923483601,-1.399037735381979,-0.9864755823123124,1.3212644562101847,1.4766170009981154,0.02296356340947051,-1.4316367151537819,0.520420561783237,-1.4184215666334878,1.3236650054653725,0.5850248563996084,-0.6551373739000571,1.2855621532103017,-0.5398108376084279,-0.7948700429888863,1.3012061090411389,0.11292058272318345,1.4077880932622635,-0.7263995952503901,-0.7839759502062592,-0.10085350918662583,-0.6306909421713178,0.08570841557824978,0.6526327859585336,1.2093066517327433,0.07194230746893367,-0.25520701385894085,1.0983026156226192,-1.3494181776065814,-0.5857612725645122,1.0695147863143915,0.8458401740780882,-1.1789202814830873,0.5543471555369978,0.6472317373180546,1.4040462715053619,-0.9525166355972678,0.76922503865565,0.9133687027063938,-0.9118674879719043,-0.18183145324728414,0.931546297892845,-0.9244101507383851,-1.21009440551397,0.7323745200829321,0.41057767483561114,-0.9495789224568307,0.01227693626891489,0.15483999972932377,0.33471288847031605,0.36710865736736026,0.3661972445398779,0.18337333455746532,0.06929666771119765,0.38647118430126565,1.040390061490335,0.15657594722333054,-0.5817327589476187,0.8107208575346462,1.140141570042598,-0.5904507189626892,-1.2814724296522388,-0.8383686092632124
0.009000000000000001,1.0166803316577373,0.07018076751415499,-0.8762754947226312,0.7442098170947263,-0.2419896985094033,1.0241785715047436,-0.773434709474044,0.7597583455078158,-1.3903156064788837,-1.0524212861383602,0.9742099603278106,-0.6413009605729535,-0.976387872831653,1.012767142503264,-0.5941868347297509,-0.9350080938150493,1.218583151750208,1.186486484526186,0.7472268424351199,-0.5738688578359127,-0.7142086992184529,0.8030392841942329,-1.1612238505219,0.9672956696716281,-0.7179048332175118,0.9477850850329368,1.186214516011738,-0.20212978896872966,-1.3323810931597244,1.0836229890703886,0.33415222099065284,0.8591583791013949,0.6700368969449731,0.18116599786096504,0.27050244769458465,-1.4258860186530098,0.5758199851356339,1.2589373267349573,-1.3988546844790706,-0.9870589710051918,1.3184500746115302,1.475400059434122,0.02073493416036218,-1.4300976830089271,0.5220303949473539,-1.4161402858204863,1.3216878887336887,0.5838622900879157,-0.6537091509853482,1.2847685967595044,-0.5401081447480384,-0.7946081495290916,1.2998721494031555,0.11484002811235387,1.4063834555318866,-0.7266914476917714,-0.782917230098661,-0.1002160644473349,-0.629977080691459,0.08530533577544648,0.6521891219725859,1.2082391190757897,0.07158345408464305,-0.2547819010685695,1.097650455800411,-1.348584666916401,-0.586368822170973,1.0679718339584199,0.8438988691041681,-1.1772646094536527,0.5532302262968295,0.6475265981218594,1.4020913729093027,-0.9504776880983548,0.7678216417482495,0.9119286890075085,-0.9110923170386016,-0.18231496829917015,0.9308668150135857,-0.9244952545021305,-1.2093750570583013,0.7311347983245821,0.40966159753775244,-0.9485548356392316,0.012256662505753788,0.15479045346057368,0.3345348971405453,0.3669589460431146,0.36598616217330865,0.1833019464875457,0.06939144665419172,0.38625566405229467,1.0395077928831016,0.15587498364978009,-0.580941122327122,0.8093575248253337,1.1386706158272484,-0.5913111388194956,-1.2795290949187945,-0.838808232743719
